자체상품코드,상품명,영문상품명,카테고리번호,판매가,할인판매가,간략설명,상품상세설명,진열상태
"AN-OU-001","말로 울 재킷","Marlow Wool Jacket","26","189000","159000","단정한 어깨선과 여유 있는 실루엣으로 완성한 데일리 울 재킷.","과한 장식 없이 재킷 본연의 균형에 집중했습니다. 셔츠와 니트, 데님과 슬랙스 사이를 자연스럽게 오가는 한 벌입니다.

어깨는 정돈되게 잡고 몸판은 여유 있게 떨어지는 세미 오버핏입니다.

울 혼방 소재 특유의 포근한 질감과 안정적인 형태감을 살렸습니다.

톤온톤 팬츠와 매치하면 차분한 셋업 룩으로, 데님과 함께하면 힘을 뺀 일상 룩으로 연출할 수 있습니다.","Y"
"AN-OU-002","로웬 더블 코트","Rowen Double Coat","26","248000","219000","여유로운 길이와 깊이 있는 컬러가 돋보이는 클래식 더블 코트.","계절마다 꺼내 입을 수 있는 단정한 더블 코트입니다. 길이와 라펠 비율을 절제해 오래 보아도 질리지 않게 완성했습니다.

두꺼운 니트 위에도 편안하게 걸칠 수 있는 여유 있는 실루엣입니다.

밀도 있는 울 혼방 원단을 사용해 차분한 표면감과 보온감을 더했습니다.

블랙 원피스 위에 걸치거나, 니트와 팬츠 위에 무심하게 더해도 자연스럽습니다.","Y"
"AN-OU-003","룬 칼라리스 재킷","Lune Collarless Jacket","26","169000","149000","목선을 가볍게 드러내는 칼라리스 디자인의 부드러운 재킷.","단정하지만 답답하지 않은 인상을 위해 칼라를 덜어냈습니다. 가벼운 이너와 함께 입기 좋은 간결한 아우터입니다.

몸에 과하게 붙지 않는 스트레이트 핏으로 완성했습니다.

매트한 표면감의 혼방 소재로 계절 사이에 부담 없이 착용할 수 있습니다.

얇은 니트와 슬랙스, 또는 미디 스커트와 매치해 균형 있게 연출해 보세요.","Y"
"AN-OU-004","세레인 트렌치 코트","Serein Trench Coat","26","229000","199000","가볍게 흐르는 실루엣으로 완성한 모던 트렌치 코트.","기본적인 트렌치의 구조는 유지하고, 불필요한 디테일은 덜어냈습니다. 계절의 시작과 끝에 가장 자주 손이 갈 아우터입니다.

허리 스트랩으로 실루엣 조절이 가능하며, 여유 있는 소매 폭으로 레이어링이 편안합니다.

바스락거림이 과하지 않은 매트한 코튼 혼방 소재를 사용했습니다.

셔츠와 팬츠 위에 가볍게 걸치거나, 원피스와 함께 부드러운 무드로 연출할 수 있습니다.","Y"
"AN-TP-001","레나 파인 니트","Lena Fine Knit","27","79000","69000","가볍고 부드러운 착용감으로 매일 입기 좋은 파인 니트.","옷장 속 어떤 하의와도 자연스럽게 이어질 수 있도록 가장 기본적인 균형을 고민한 니트입니다.

몸을 조이지 않으면서도 깔끔하게 떨어지는 레귤러 핏입니다.

부드러운 촉감의 파인 게이지 니트 소재로 가볍게 입기 좋습니다.

슬랙스와 함께 단정하게, 데님과 함께 편안하게 입어 보세요.","Y"
"AN-TP-002","미라 골지 터틀넥","Mira Ribbed Turtleneck","27","65000","59000","몸에 자연스럽게 감기는 골지 조직의 슬림 터틀넥.","레이어링을 위한 이너부터 단독 착용까지, 계절 사이 가장 실용적인 기준이 되는 탑입니다.

과하게 타이트하지 않으며 자연스럽게 몸선을 따라 떨어집니다.

신축성이 있는 골지 니트 소재로 편안한 착용감을 제공합니다.

재킷 안 이너로 활용하거나, 롱 스커트와 함께 단독으로 연출해 보세요.","Y"
"AN-TP-003","노아 코튼 셔츠","Noa Cotton Shirt","27","89000","79000","힘을 뺀 실루엣과 맑은 컬러감이 돋보이는 코튼 셔츠.","단정한 셔츠가 주는 긴장감은 줄이고, 매일 입기 쉬운 여유를 더했습니다.

어깨선을 살짝 낮춘 세미 루즈 핏으로 편안하게 입을 수 있습니다.

바이오 워싱 코튼 소재로 부드럽고 자연스러운 질감을 살렸습니다.

슬랙스에 넣어 입거나, 니트 안에 레이어드해도 자연스럽습니다.","Y"
"AN-TP-004","엘린 소프트 블라우스","Eline Soft Blouse","27","98000","88000","부드럽게 흐르는 소재와 간결한 넥라인이 돋보이는 블라우스.","특별한 날과 평범한 날 사이에서 가장 자연스럽게 선택할 수 있는 블라우스입니다.

몸에 달라붙지 않고 가볍게 흐르는 여유 있는 핏입니다.

은은한 광택과 부드러운 드레이프가 느껴지는 소재를 사용했습니다.

미디 스커트와 함께 여성스럽게, 팬츠와 함께 도시적으로 연출할 수 있습니다.","Y"
"AN-TP-005","애스터 버튼 가디건","Aster Button Cardigan","27","99000","89000","단정한 버튼 디테일로 완성한 클래식 니트 가디건.","한 벌만으로도 충분하지만, 여러 계절의 레이어링을 고려해 더 오래 입을 수 있도록 만들었습니다.

적당히 여유 있는 레귤러 핏으로 단독 또는 이너 위에 착용하기 좋습니다.

밀도 있는 니트 조직으로 형태감이 안정적입니다.

슬랙스와 매치하면 단정하게, 데님과 함께하면 편안한 주말 룩으로 이어집니다.","Y"
"AN-TP-006","셀리아 브이 니트","Celia V Knit","27","85000","75000","깊지 않은 브이넥과 부드러운 질감이 조화로운 데일리 니트.","목선을 답답하지 않게 정리하고, 편안한 실루엣으로 매일 입기 좋게 완성했습니다.

어깨와 몸판에 자연스러운 여유를 둔 루즈 레귤러 핏입니다.

가볍고 포근한 니트 소재로 계절 내내 활용하기 좋습니다.

셔츠 위에 레이어드하거나 단독으로 입어도 자연스러운 균형을 만듭니다.","Y"
